email,password_hash,first_name,last_name,college_level,bio,college_id,major_id
laura.marshall@maine.edu,34c1ace022e9dcc3520c9e5dae9a5312da3e9e64f13a5c9a6944b1b12a9e4a75,Laura,Marshall,Freshman,Exploring software engineering and collaborative projects.,1891,382
christopher.allen@student.usm.edu,2f34980b9234dd9c9d37ec2296c09edd8343f94c50a2acb4e047316a0dd77a7c,Christopher,Allen,Junior,"Interested in data analysis, visualization, and systems security.",1686,331
kristine.bowen@student.usm.edu,7b0bc6889ea2b406bea19fddc534fe3ee9e57989262486ec0332258f91d4475d,Kristine,Bowen,Junior,Exploring software engineering and collaborative projects.,1644,418
valerie.valdez@maine.edu,0f6d57a4e89cc95961907d2239bb745af2f5eda961764263d9ca3b45c95982c1,Valerie,Valdez,Graduate,"Interested in data analysis, visualization, and systems security.",445,131
ryan.pena@maine.edu,a86740521f84c4905212899071c5d553830a36a865a9766eff709988f7bf51a0,Ryan,Pena,Freshman,"Focused on machine learning, databases, and research innovation.",1304,166
gabrielle.adkins@college.edu,2d1acd154e561f05c0a17976d86058341c548debeaa103af4c9373686f9673ca,Gabrielle,Adkins,Senior,Driven by solving real-world problems through code and design.,1963,20
brett.perez@maine.edu,e52889a864c8d12eb42c88c88101b05b0c188345ab3b8b12a796a5e8a962a813,Brett,Perez,Junior,Computer Science student passionate about app development and AI.,1002,236
samuel.thompson@maine.edu,be3e6c36d6a1b9a1c78917404692420fdc218b2c9567b92df653dd3c5ff025a5,Samuel,Thompson,Junior,Exploring software engineering and collaborative projects.,37,51
kevin.meyer@usm.edu,b9adab955933692454eece6455cbd4a60bc47b89d477be7fb01dc4fd455cb519,Kevin,Meyer,Freshman,"Focused on machine learning, databases, and research innovation.",1612,106
tiffany.adams@maine.edu,aeac8bdd5d2599c0aa0fe8d3ffff79585ee315b4e447679128b0967d73bfe9dc,Tiffany,Adams,Senior,Computer Science student passionate about app development and AI.,1355,364
linda.larson@student.usm.edu,1b18d96d0ccb4426e792549541c594288e7bd5c4e1ff8f750b74fa4960a9bafb,Linda,Larson,Senior,Exploring software engineering and collaborative projects.,1456,179
holly.schroeder@usm.edu,e54605c699e7648569385f3e56bca02c48171b15304ea20adfe3f59bd6ad24b0,Holly,Schroeder,Graduate,"Focused on machine learning, databases, and research innovation.",512,68
brooke.washington@maine.edu,df4552fc74e583e61f07424b48b63b50ae380cdff3ccbc5d3aef36c922ee1b1a,Brooke,Washington,Sophomore,Computer Science student passionate about app development and AI.,42,212
brandon.lewis@student.usm.edu,456aa1197273dc8a9e83a95b6019dfacb1c49085e30ba14081537c134feb4272,Brandon,Lewis,Senior,"Focused on machine learning, databases, and research innovation.",1585,303
angela.kent@usm.edu,c98d96243bb5f19d1560decce533b19e042c1ee6724c2b9d03551fb3689ea558,Angela,Kent,Graduate,Exploring software engineering and collaborative projects.,1949,10
robert.guerra@college.edu,1f3419191451e7a1b6bf5bb3984d70646e39f779465a301b428dd748d2a28099,Robert,Guerra,Freshman,Computer Science student passionate about app development and AI.,100,276
jacqueline.crawford@college.edu,3a50eec78a29b34c05d44b272361b80fb6007fc6a5d6f7a005576d06a0f52f65,Jacqueline,Crawford,Sophomore,Computer Science student passionate about app development and AI.,1701,327
sharon.blackburn@usm.edu,c5f23e9268903912c59ae29763bf4ddd1b4eaab3c3f980357feb815d341f14a5,Sharon,Blackburn,Graduate,Computer Science student passionate about app development and AI.,1947,331
timothy.west@student.usm.edu,afe0a2c4ae1b3eb2ad72a00938f0d88edc85111fdd3b1eb29694ff3f1da31091,Timothy,West,Freshman,"Focused on machine learning, databases, and research innovation.",1219,237
samantha.mora@maine.edu,4b4d4474dfbd451fbdeb36f17e0f0280d4ab7d932c263cc2b4c40374418698f0,Samantha,Mora,Sophomore,"Interested in data analysis, visualization, and systems security.",1461,356
joseph.thompson@maine.edu,d938b5ba3973d1163eabafa89a445fd393cab18c4ec3266009e475f685aef768,Joseph,Thompson,Sophomore,Computer Science student passionate about app development and AI.,1666,184
jeffrey.murphy@usm.edu,c42e4e1c49600f5305b5ff6bf5cb81de580be0915aff39d4cce7e95dcc380729,Jeffrey,Murphy,Freshman,Computer Science student passionate about app development and AI.,1498,49
george.evans@usm.edu,9725e0ba5293989ef01915f724770d430362659988391dd61bbcc73bb2807e6b,George,Evans,Freshman,Computer Science student passionate about app development and AI.,1275,341
lisa.mcknight@college.edu,41ccdf3c35b2f2da568a38cfc1e0618b858a2fe7ed48afd100a08ec16f872f3b,Lisa,Mcknight,Junior,"Focused on machine learning, databases, and research innovation.",83,53
lori.reynolds@maine.edu,d5524e20e69ceb10a6e2c46bed4bcdad79e7f1b9f81b3e0763a85283dd9a9d80,Lori,Reynolds,Freshman,Exploring software engineering and collaborative projects.,1464,331
jill.marshall@maine.edu,cdd31e39ad43da42864f490330072086c47ec9b58154b3464d01738b49569e29,Jill,Marshall,Sophomore,"Focused on machine learning, databases, and research innovation.",1006,47
emily.cortez@college.edu,8e0d68ab6817284616bf070238a0ca2cb1699e70d239f96868fe6c00ce7555ef,Emily,Cortez,Graduate,Computer Science student passionate about app development and AI.,968,69
dawn.torres@student.usm.edu,aeeb638efa07b2d27402299f700c0aecd4485a297bddacb0b27d2176578badda,Dawn,Torres,Graduate,Computer Science student passionate about app development and AI.,1484,59
vincent.russell@maine.edu,a8ce9d6aa3e39c5945aebb7306c13d0054dfded0c88c02384bb6cd3b64591b1d,Vincent,Russell,Freshman,"Interested in data analysis, visualization, and systems security.",1118,372
william.cruz@college.edu,3e61e3ece61e7b29198a5e152d0bcfe384397d2fac89a8f49729218c03d315ee,William,Cruz,Freshman,"Interested in data analysis, visualization, and systems security.",503,387
kevin.smith@college.edu,c7ecc2a10bff2a1383845897e30f735bf4f8f465113f47bd48b81f49f1d2ad86,Kevin,Smith,Junior,Exploring software engineering and collaborative projects.,128,335
jacqueline.hubbard@student.usm.edu,affee3bc8d147c2180147aaefb7e440d592db6b2262ac26e428871e920a1996e,Jacqueline,Hubbard,Junior,"Interested in data analysis, visualization, and systems security.",1010,10
william.stevenson@usm.edu,ee92ca851c4a89f4f224117b37b820b356edefa47791644cfdb5f25b8b146bc7,William,Stevenson,Graduate,Exploring software engineering and collaborative projects.,1283,314
kirk.chapman@maine.edu,926e03f620c35d4fbc82e9a9722c40c2cff60c8c51e292158d987f5837b16121,Kirk,Chapman,Graduate,"Focused on machine learning, databases, and research innovation.",445,300
michael.case@student.usm.edu,194abe7c78bfc3a74d965dbcfd65c1e8dcc06c6d9218bb56d786582d176b7478,Michael,Case,Graduate,Computer Science student passionate about app development and AI.,242,48
paul.hunt@student.usm.edu,2bae07436b56402539c8b3658b5235dd543363aeab142949099cf571108c406a,Paul,Hunt,Junior,Exploring software engineering and collaborative projects.,1317,29
matthew.griffin@usm.edu,ff04c918cda3731d4120af7bb7794b619f90283ffb4d1c6688278959dd932717,Matthew,Griffin,Senior,Driven by solving real-world problems through code and design.,1509,396
amy.anderson@usm.edu,1e1052f2b3112bb212572450b5e7f4416c127262bc3c79b7bb511c467af5f5ec,Amy,Anderson,Senior,Driven by solving real-world problems through code and design.,1689,268
erica.romero@maine.edu,c04d222439d80f133649ea867e3fdf2574b4a1cd0fb383aa6accec388e6efc80,Erica,Romero,Junior,Exploring software engineering and collaborative projects.,1972,352
jim.hernandez@maine.edu,1fad7b6829994be42d7389277a33359f75f2aec6c2761d59064f24ac91a1fb15,Jim,Hernandez,Sophomore,Computer Science student passionate about app development and AI.,971,252
elizabeth.hill@usm.edu,6c91f1c4d2bdd296c130a9819d199fdc13c2a00dafeb2230a25c420bd21640b2,Elizabeth,Hill,Freshman,Computer Science student passionate about app development and AI.,1772,282
amanda.alexander@usm.edu,d3dc27bd272d1029ff0b4fc6eb48fb33c471612a35080235926faef86424e0eb,Amanda,Alexander,Freshman,"Focused on machine learning, databases, and research innovation.",460,194
gregory.jones@usm.edu,c5729f533be906a338b70845cbcc7ea1f8432d36bfa2185a68ee06e403a9ac47,Gregory,Jones,Freshman,Driven by solving real-world problems through code and design.,288,284
amy.greer@usm.edu,dbe3d9c495cfa9965051460fcf4f622cb337228cbefae784588f74725b688ef0,Amy,Greer,Senior,Computer Science student passionate about app development and AI.,1064,60
sharon.pope@usm.edu,d5978fb14a336a0f093e7d9773884d9eefbc78fa25944196ed596152c50c2b07,Sharon,Pope,Freshman,Computer Science student passionate about app development and AI.,1364,278
lisa.wright@student.usm.edu,79a1feedfe7b7c18babfaa54880f8741d1d6e9badc8b9cc887a16ebb903e42c1,Lisa,Wright,Sophomore,Computer Science student passionate about app development and AI.,1231,61
felicia.montgomery@maine.edu,109f2b954310c85299a8e4f8524f5f8238e53e807d5a2a06886cf5849c968eb6,Felicia,Montgomery,Junior,Computer Science student passionate about app development and AI.,1278,377
brian.james@maine.edu,3c893b9621b79bdf66aa6d1117f5e456598009bc6e9d5e2a18fcf2eef3493658,Brian,James,Freshman,Driven by solving real-world problems through code and design.,1910,221
theresa.hancock@student.usm.edu,e6d98cf5d6d3348097ebb64a2fb0a74795cb551eba8f100677a149ac5f0e377b,Theresa,Hancock,Senior,Exploring software engineering and collaborative projects.,2024,342
antonio.baker@student.usm.edu,2c815070875196f93bab62d23b0c3340e20db0120a8666a01a3d8d28fb9e2576,Antonio,Baker,Freshman,"Interested in data analysis, visualization, and systems security.",465,357
jessica.garcia@student.usm.edu,d05ba6e48f4c4d87dd22a43304a06ef9f49318bd31c5a81ff33a6cff6f353d1d,Jessica,Garcia,Graduate,Computer Science student passionate about app development and AI.,159,280
gloria.bryan@usm.edu,2cdf44621fc078d1101b2d70ce1b0663d383705f145dd1f2547deb5bae4a294d,Gloria,Bryan,Freshman,Computer Science student passionate about app development and AI.,849,274
amanda.alvarez@usm.edu,95d7a00e62ac9288ef506f1e585cbcf7747990665d88586926b48eaeed473bc5,Amanda,Alvarez,Freshman,Exploring software engineering and collaborative projects.,1567,366
jason.reed@student.usm.edu,49908676938d90dea2e8b9a1651fce9c70847cca50988bb8b13e6acd81a12918,Jason,Reed,Graduate,"Focused on machine learning, databases, and research innovation.",962,246
victoria.simpson@college.edu,9989d37ed011068dc8f704b8b3ed71b2317405dd746a01cf99887b509c71edd1,Victoria,Simpson,Junior,Computer Science student passionate about app development and AI.,159,276
cristian.roberts@maine.edu,d81d16ee5b487afdde5911ec20cf5873e2c216cf2c51827bc553ad52c99664fb,Cristian,Roberts,Sophomore,"Focused on machine learning, databases, and research innovation.",2019,106
christopher.sanchez@maine.edu,45794e73d7daa0cd9433f13ff59ed36e9ea5ea04f3bf1749612503d860763efe,Christopher,Sanchez,Freshman,"Interested in data analysis, visualization, and systems security.",1554,415
timothy.little@usm.edu,cc6a28402e5b16fe1c3a9cd72ff0322177e8c5e41934f974767a2682f2d86afe,Timothy,Little,Graduate,Exploring software engineering and collaborative projects.,1863,73
christopher.landry@student.usm.edu,1e6f33e72ce0be2c62b45d1c1e36a3497f27f634584396d7a8823b2154b34ab5,Christopher,Landry,Freshman,"Focused on machine learning, databases, and research innovation.",119,293
anna.simpson@student.usm.edu,675c6de36e5ab87a687d53be20ab2551627f7e9c8305ae43d58ca6dece4b7f3c,Anna,Simpson,Graduate,"Focused on machine learning, databases, and research innovation.",1974,199
joshua.francis@college.edu,b8c06b1fe03e4cd473e945375d6fa2489b9b69a88b1f2c2a04358fc2d0e1e6bb,Joshua,Francis,Senior,Driven by solving real-world problems through code and design.,1131,312
susan.tucker@college.edu,f88c38b3d49cfba324c5374190563c975e2f9ed4b99076d5b7bc3da377ddec90,Susan,Tucker,Freshman,"Interested in data analysis, visualization, and systems security.",1336,188
kristina.yates@usm.edu,f126fb024b880ba34e8ef33882ec0d88d55b46836faf0cd43b84626b06292449,Kristina,Yates,Junior,Driven by solving real-world problems through code and design.,612,52
denise.bradford@usm.edu,ed5c96162ab55bb78e6b63f1da19dc9903c4fb1e3a1a15a54050e39343bcf6fd,Denise,Bradford,Graduate,"Interested in data analysis, visualization, and systems security.",1628,272
carrie.smith@maine.edu,18b69fe1d563460bbbefd721dd5d390de065f52becc2f994c26c838cee00fff7,Carrie,Smith,Freshman,"Focused on machine learning, databases, and research innovation.",1119,417
jennifer.tapia@college.edu,444232fdaf37c3dc96a0d6356bed5e30fa66f77b116e220c907dfdc3779ff24d,Jennifer,Tapia,Senior,Exploring software engineering and collaborative projects.,2036,368
trevor.curry@student.usm.edu,0c734b1d7e44eb1bd5f8634b78adece091272f7f7a427f03f5725bef051a1f80,Trevor,Curry,Graduate,Driven by solving real-world problems through code and design.,161,39
vincent.contreras@maine.edu,8e865127f30cd7799d992aaa38cee706a502371ca79e4887a3ee59a27238fbf2,Vincent,Contreras,Sophomore,"Focused on machine learning, databases, and research innovation.",363,301
benjamin.kelly@student.usm.edu,a397d42b72f37cf631f7dc0da3b85028ea3fca5f05c86612740d4d5840aa0df1,Benjamin,Kelly,Freshman,"Interested in data analysis, visualization, and systems security.",2053,342
marcus.brock@student.usm.edu,060feb92949a0afb3e9fda5b31e5e560ec10fbadc29dafdb6bf0c1d54ed39418,Marcus,Brock,Junior,Driven by solving real-world problems through code and design.,1922,144
dave.callahan@maine.edu,a862a01aacdf5ea8c98e6e052bb727f12d8648db6c095777f9e7a261899443ca,Dave,Callahan,Senior,"Interested in data analysis, visualization, and systems security.",1911,330
kristine.delacruz@maine.edu,da60774a2509e9cdec177dc24c795521dbaaccd697fd53425cb66f912809f008,Kristine,Delacruz,Graduate,Computer Science student passionate about app development and AI.,1884,184
joseph.stuart@usm.edu,5d048deab65f8f7b09c77965c383fb1970401e79ded9a31d43034d2b1f6b362a,Joseph,Stuart,Graduate,Computer Science student passionate about app development and AI.,1705,37
marco.benson@usm.edu,0e2c214a2d40e814a82b01d869db1551ab1299936494843d2fa5158c3c038f42,Marco,Benson,Freshman,Driven by solving real-world problems through code and design.,162,88
alexandra.zimmerman@student.usm.edu,29424a5d6c641735d8c0341b08abc60edbf73a690bde80fd193d6792ba90ed0d,Alexandra,Zimmerman,Senior,"Focused on machine learning, databases, and research innovation.",1827,139
jason.rivers@usm.edu,31144903ffeebfb30dfcfc9233127b3ef5db900f1a912bc2de1c1d09120a4367,Jason,Rivers,Sophomore,Driven by solving real-world problems through code and design.,1687,386
jennifer.davidson@college.edu,12ab6a440b606256856808a590b1e72aa1ef0be7a70831e060d2594f650342b6,Jennifer,Davidson,Sophomore,"Focused on machine learning, databases, and research innovation.",507,336
cassie.farley@usm.edu,ee3de773ba993eca745f4b1e57a8a742ce39de2b097f050870ad624df6317e0e,Cassie,Farley,Freshman,Exploring software engineering and collaborative projects.,555,280
andrea.johnson@student.usm.edu,c11bad37c035454c83d6fe8d193dc85e00a5fb00e3999d9ed57bc23ee9b2c118,Andrea,Johnson,Senior,Driven by solving real-world problems through code and design.,429,60
william.robinson@usm.edu,1f81c826401157acdde3a946a711dcdea7f5c478bb6da5ced037d9e74190a6af,William,Robinson,Freshman,Exploring software engineering and collaborative projects.,1460,276
pamela.stephens@usm.edu,485bebda97ee528eff9a1852a6a985163f5247aae32074474a52f6715960f3eb,Pamela,Stephens,Sophomore,Computer Science student passionate about app development and AI.,523,277
dwayne.blair@usm.edu,afaf8a57417c50c9fd6b97e7491ab8ba3ecdaf0ed806bea4b22fbe217f885681,Dwayne,Blair,Freshman,"Focused on machine learning, databases, and research innovation.",348,286
katie.wolfe@usm.edu,c2fb424e16ac61f612002c24b13291aedddbb529f5a85f3b6b89b8eac1a12596,Katie,Wolfe,Sophomore,Exploring software engineering and collaborative projects.,447,344
